PROBLEM;PRAWDOPODOBNA PRZYCZYNA;NOWY WZORZEC MYŚLENIA
"Niedoczynność tarczycy por.
tarczyca";Rezygnacja, poczucie beznadziejnego zdławienia.;Tworzę nowe życie i nowe wspierające mnie zasady.
Niekontrolowanie odruchów wydalania;Tłumienie uczuć przez długi czas.;Zgadzam się przeżywać emocje. Bezpiecznie jest wyrażać swoje uczucia.
Niemiła woń ciała;Strach przed innymi ludźmi, niechęć do samego siebie.;Kocham i akceptuję siebie. Jestem bezpieczny.
Niestrawność;Strach sięgający trzewi, przerażenie, niepokój.;Przyjmuję wszystkie nowe doświadczenia spokojnie i z radością.
Nieuleczalna choroba;Choroba, która nie może być leczona z zewnątrz. Aby leczyć, trzeba zwrócić się ku sobie.;"Cuda zdarzają się codziennie. Wchodzę w siebie, by pozbyć się wzorca, który stworzył chorobę. Teraz przyjmuję boskie
uzdrowienie. I oto jest!"
Nieświeży oddech (por oddech);Gniew i myśl o zemście.;Uwalniam przeszłość z miłością. Daję wyraz tylko miłości.
Nogi;Niosą nas przez życie.;Życie jest dla mnie.
"Nogi - dolegliwości
partii dolnych";"Lęk przed przyszłością. Niechęć do
pójścia naprzód.";"Kroczę do przodu z pewnością i radością
wiedząc, że w przyszłości wszystko będzie
dobrze."
Nogi - Piszczelowa kość goleń;Załamanie idei, kryteria, którymi kierujemy się w życiu.;W miłości i radości żyję zgodnie z najwyższymi wartościami.
Nos;Symbolizuje znajomość siebie.;Uznaję moje zdolności intuicyjne.
Krwawienie z nosa;Potrzeba uznania, poczucie, że jest się na uboczu. Wołanie o miłość.;Kocham i akceptuję siebie. Dostrzegam moją prawdziwą wartość. Jestem cudowny.
Kapanie z nosa;Wewnętrzny płacz, prośba o pomoc.;Kocham siebie i w przyjemny sposób potrafię siebie pocieszyć.
Zatkany nos;Nieświadomość własnej wartości.;Kocham i cenię siebie.
Nudności;Lęk, odrzucenie myśli lub doświadczenia.;Jestem bezpieczny. Ufam, że życie przynosi mi jedynie dobro.
Obłęd;p. psychiczna ch.;
Oczy;Symbolizują zdolność widzenia przeszłości, teraźniejszości, przyszłości.;Patrzę z miłością i radością.
Oczy - Astygmatyzm;"Kłopoty z własnym „ja"", lęk przed ujrzeniem siebie naprawdę.";Chcę widzieć swoje własne piękno i wspaniałość.
Oczy - Dalekowzroczność;Lęk przed teraźniejszością.;Jestem bezpieczny tu i teraz. Widzę to.
Oczy - Dolegliwości oczu;Niezadowolenie z tego, co widzisz w swoim życiu.;Tworzę życie, na które kocham patrzeć.
Oczy - Jaskra;Odmowa wybaczenia, napięcie z powodu urazów.;Patrzę z miłością i czułością.
Oczy - Jęczmień;Patrzenie na życie z gniewem, złość na kogoś.;Chcę patrzeć na wszystkich i wszystko z radością i miłością.
Oczy - Katarakta (zaćma);Niezdolność do patrzenia w przyszłość z radością.;Życie jest wieczne i wypełnione radością.
Oczy - Krótkowzroczność;Lęk przed przyszłością, brak zaufania do tego, co będzie.;Przyjmuję Boskie przewodnictwo i zawsze jestem bezpieczny.
Oczy - Suchość oczu;Gniewne oczy, odmowa patrzenia z miłością.;Chętnie wybaczam. Moim spojrzeniem chłonę życie z współczuciem i zrozumieniem.
Oczy - Zaburzenia widzenia u dzieci;Niechęć do widzenia, co dzieje się w rodzinie.;Harmonia, radość, piękno i bezpieczeństwo otaczają teraz to dziecko.
Oczy - Zaczerwienione oczy;Gniew, napięcie, odmowa widzenia.;Kocham i akceptuję siebie.
Oczy - Zapalenie rogówki;Krańcowy gniew. Pragnienie, by uderzyć kogoś lub coś w zasięgu wzroku.;Pozwalam miłości z mojego serca uzdrawiać wszystko, co widzę. Pragnę pokoju. Wszystko jest w porządku w moim świecie.
Oczy - Zapalenie spojówek;Gniew i frustracja wobec tego, na co patrzysz w życiu.;Widzę oczami miłości. Istnieje harmonijne rozwiązanie i teraz je przyjmuję.
Oczy - Zez rozbieżny;Obawa spojrzenia na to, co jest tu i teraz.;Kocham i akceptuję siebie właśnie teraz.
Oczy - Zez zbieżny;Niechęć zobaczenia tego, co jest na zewnątrz. Sprzeczne zamiary.;Bezpiecznie jest widzieć. Jestem spokojny.
Odbijanie się;Lęk. Przełykanie życia zbyt szybko.;Jest czas i miejsce na wszystko, co potrzebuję zrobić. Jestem spokojny.
Odbyt;Miejsce uwalniania. Śmietnisko.;Łatwo i spokojnie uwalniam się od tego, czego już dłużej nie potrzebuję w życiu.
Odbyt - Ból;Poczucie winy. Pragnienie kary. Przekonanie, że nie jest się wystarczająco dobrym.;Przeszłość jest zakończona. Chcę kochać i aprobować siebie w teraźniejszości.
Odbyt - Hemoroidy;Lęk przed śmiercią. Gniew na przeszłość. Obawa przed wydalaniem. Poczucie nadmiernego obarczenia.;Uwalniam wszystko, co nie jest miłością. Jest czas i miejsce na wszystko, co chcę robić.
Odbyt - Krwawienie;Gniew i frustracja.;Ufam biegowi życia. W moim życiu ma miejsce jedynie dobre i właściwe działanie.
Odbyt - Owrzodzenie;Gniew na to, czego nie chcesz się pozbyć.;Bezpiecznie jest to uwolnić. Tylko to, czego już nie potrzebuję, opuszcza moje ciało.
Odbyt - Przetoka;Niezupełne uwolnienie odpadków. Kurczowe trzymanie się śmieci z przeszłości.;Z miłością uwalniam przeszłość. Jestem wolny. Jestem miłością.
Odbyt - Swędzenie;Poczucie winy dotyczące przeszłości. Wyrzuty sumienia.;Z miłością wybaczam sobie. Jestem wolny.
Odciski, nagniotki;Stwardniałe obszary myślenia — uparte trzymanie się dawnego bólu.;Kroczę naprzód wolny od przeszłości. Jestem bezpieczny i wolny.
Oddech;Symbolizuje zdolność przyjmowania życia.;Kocham życie. Bezpiecznie jest żyć.
Oddech - Cuchnący oddech (nieświeży oddech);Fałszywa postawa, podłe obgadywanie, plugawe myśli.;Mówię łagodnie i z miłością. Wydycham tylko to, co dobre.
Oddech - Duszności, hiperwentylacja;Lęk lub odmowa przeżywania życia w pełni. Zaprzeczanie prawu do własnej przestrzeni.;Moim naturalnym prawem jest żyć w pełni i swobodnie. Jestem wart miłości. Chcę żyć pełnią życia.
Odrętwienie;Tłumienie miłości. Psychiczne zamieranie.;Dzielę się moimi uczuciami i moją miłością. Inni reagują miłością wobec mnie.
Omdlenie, zasłabnięcie;Lęk. Nieporadność. Zaciemnianie.;Mam wystarczającą moc, siłę i wiedzę, by poradzić sobie ze wszystkim w życiu.
Oparzenia;Palący gniew. Rozdrażnienie.;Wewnątrz i wokół siebie tworzę tylko spokój i harmonię. Zasługuję na to, by czuć się dobrze.
"Opryszczka (narządów płciowych) por.
weneryczne
choroby";Wiara w seksualną winę i potrzeba poniesienia kary. Wstyd. Wiara w karzącego Boga. Odrzucenie własnej płciowości.;Wspiera mnie moje pojmowanie Boga. Jestem normalny i naturalny. Cieszę się moją seksualnością i moim ciałem. Jestem cudowny.
"Opryszczka zwykła (wargowa) por.
owrzodzenie jamy
ustnej";Paląca złość. Powstrzymywanie gorzkich słów.;Myślę i wypowiadam tylko słowa miłości. Jestem w zgodzie z życiem.
Opuchlizna (por puchlina wodna);Zawężony sposób myślenia. Pogmatwane bolesne myśli.;Moje myśli przepływają swobodnie i lekko. Poruszam się wśród nich z łatwością.
Zapalenie oskrzeli (por bronchit);"„Zapalne"" ognisko w otoczeniu rodzinnym. Kłótnie i krzyki. Okresy „cichych dni"".";Ogłaszam pokój i zgodę we mnie i dookoła mnie. Wszystko jest dobrze.
Osłabienie;Potrzeba psychicznego odpoczynku.;Udzielam moim myślom przyjemnego urlopu.
Owrzodzenie jamy ustnej;Zajadłe, gniewne słowa i lęk przed ich wypowiedzeniem.;Kocham siebie i dlatego tworzę tylko takie doświadczenia, w których doznaję spokoju. Wszystko jest w porządku.
Oziębłość;Lęk. Wyrzeczenie się przyjemności. Przekonanie, że seks jest zły. Nieczuli partnerzy. Lęk przed ojcem.;Bezpiecznie jest cieszyć się własnym ciałem. Cieszę się, że jestem kobietą.
Padaczka (por epilepsja);;
Pageta Choroba ;"Poczucie utraty gruntu pod nogami. „Nikogo nie obchodzę"".";Wiem, że życie wspiera mnie w doskonały i niezrównany sposób. Życie kocha mnie i troszczy się o mnie.
Palce dłoni;Odpowiadają poszczególnym sferom życia.;Jestem spokojny o szczegóły życia.
Palce dłoni - Artretyczne;Chęć karania. Poczucie winy. Przekonanie o byciu ofiarą.;Spoglądam z miłością i zrozumieniem. Wszystkie moje doświadczenia rozjaśniam światłem miłości.
Palce dłoni - Kciuk;Symbolizuje intelekt i troskę.;Mój umysł jest spokojny.
Palce dłoni - Mały;Symbolizuje rodzinę i udawanie.;W rodzinie żyjących istot jestem sobą.
Palce dłoni - Serdeczny;Symbolizuje związki z ludźmi i smutek.;Spokojnie kocham.
Palce dłoni - Środkowy;Symbolizuje gniew i seksualność.;Jest mi dobrze z moją seksualnością.
Palce dłoni - Wskazujący;Symbolizuje ego i lęk.;Jestem bezpieczny.
Palce stóp;Reprezentują pomniejsze szczegóły dotyczące przyszłości.;Wszystkie szczegóły same się wyjaśnią.
Palce stóp - Wrastający paznokieć;Troska i poczucie winy związane z należnym prawem, by iść naprzód.;Moim Boskim prawem jest wyznaczać własne kierunki w życiu. Jestem bezpieczny. Jestem wolny.
Palce stóp - Zapalenie kaletki maziowej palucha;Brak radości w przeżywaniu życia.;Z radością podążam naprzód, by powitać wspaniałe doświadczenia mojego życia.
Paradontoza;Gniew z powodu nieumiejętności podjęcia decyzji. Niezdecydowanie.;Akceptuję siebie. Moje decyzje są dla mnie zawsze doskonałe.
"Paraliż (por.
porażenie,
Parkinsona ch.)";Lęk. Paniczny strach. Ucieczka od sytuacji lub osoby. Opór.;Stanowię jedność z całością życia. Potrafię się znaleźć w każdej sytuacji.
"Parkinsona choroba(por.
porażenie, paraliż)";Lęk i intensywne pragnienie kontrolowania wszystkiego i wszystkich.;Rozluźniam się, wiedząc, że jestem bezpieczny. Życie jest dla mnie. Ufam mu.
Pasożyty;Przyznawanie mocy tylko innym. Przesadne ustępowanie.;Z miłością przyjmuję powracającą do mnie moc i przestaję ulegać wpływom innych.
Paznokcie;Symbolizują obronę. W poczuciu bezpieczeństwa wyciągam do innych rękę.;W poczuciu bezpieczeństwa wyciągam do innych rękę.
Paznokcie— obgryzanie;Zawód. Zjadanie samego siebie. Uraza wobec jednego z rodziców.;Bezpiecznie jest wzrastać i rozwijać się. Kieruję moim własnym życiem z radością i łatwością.
Pęcherze skórne;Opór. Brak wsparcia emocjonalnego.;Łagodnie płynę z życiem i z każdym nowym doświadczeniem. Wszystko jest w porządku.
Pęcherz moczowy — zapalenie;"Niepokój. Trzymanie się starych poglądów. Lęk przed „wyluzowaniem się"". Poczucie, że jest się lekceważonym.";Z łatwością i w spokoju odrzucam stare i witam nowe w moim życiu. Jestem bezpieczny.
Piersi;Symbolizują macierzyństwo, pożywienie i karmienie.;Przyjmuję i daję pożywienie w doskonałej równowadze.
Piersi — dolegliwości;Odmowa przyjmowania pokarmu. Stawianie wszystkich innych na pierwszym miejscu.;Jestem ważna. Liczę się. Dbam o siebie. Odżywiam się z miłością i radością. Pozwalam innym, by byli, kim są. Wszyscy jesteśmy wolni i bezpieczni.
Piersi — cysty, guzy, bóle;Przesadne matkowanie. Nadopiekuńczość. Apodyktyczność.;Jestem wolny od nadopiekuńczości. Kocham siebie i daję innym przestrzeń do wzrastania.
Pląsawica (taniec św. Wita);Uraza z powodu niemożności zmienienia innych. Brak nadziei.;Pozostawiam Wszechświatu wszelką kontrolę. Jestem w pokoju z sobą i z życiem.
Plecy ;Symbolizują życiowe wsparcie.;Wiem, że Życie zawsze mnie wspiera.
"Plecy — dolegliwości (p. rozdział „Zmiany w kręgosłupie"")";;
Plecy - góra;Brak emocjonalnego wsparcia. Czucie się niekochanym. Powstrzymywanie miłości.;Kocham i akceptuję siebie. Życie kocha mnie i wspiera.
Plecy — środek;Poczucie winy. Uczucie obarczenia przeszłością.;Uwalniam przeszłość. Mogę iść do przodu z miłością w sercu.
Plecy - dół;Lęk o pieniądze. Brak wsparcia finansowego.;Ufam biegowi życia. Wszystko, czego potrzebuję, jest zawsze zapewnione. Jestem bezpieczny.
"Pleśniawki por.
drożdżyca, usta —
owrzodzenia";"Złość z powodu podjęcia „błędnych"" decyzji.";Przyjmuję moje decyzje z miłością. Wiem, że jestem wolny, by dokonywać zmian. Jestem bezpieczny.
Płacz;Łzy są rzeką życia. Płyną zarówno w radości, jak smutku i strachu.;Jestem w zgodzie ze swoimi emocjami. Kocham i akceptuję siebie.
Płciowe organy (por genitalia);;
Płuca;Zdolność przyjmowania życia.;Przyjmuję życie w doskonałej równowadze.
Płuca - dolegliwości;Depresja. Zgryzota. Lęk przed życiem. Poczucie, że się nie zasługuje żyć pełnią życia.;Potrafię przyjąć pełnię życia. Z miłością żyję życiem w jego najpełniejszym kształcie.
Płuca— zapalenie;Rozpacz. Zmęczenie życiem. Emocjonalne rany, którym nie pozwolono się zagoić.;Swobodnie przyjmuję Boskie idee, które wypełnione są tchnieniem i inteligencją Życia. To nowa chwila.
Pochwa por. kobiece dolegliwości;;
Pochwa - zapalenie;Gniew na partnera. Poczucie winy związane z seksem. Karanie siebie.;"Inni odzwierciedlają miłość i aprobatę, jaką
mam dla siebie. Cieszę się moją płciowością."
Pokrzywka;Małe, skrywane lęki. Wyolbrzymianie drobnych kłopotów.;Wnoszę pokój do każdego zakątka mojego życia.
Poliomyelitis (ch. Heinego-Medina);Paraliżująca zazdrość. Pragnienie zatrzymania kogoś.;Wystarczy dla wszystkich. Tworzę moje dobro i wolność kochającymi myślami.
Polipy;Napięcie i kłótnie w rodzinie. Dziecko czuje się niechciane. Sądzi, że przeszkadza rodzicom.;To dziecko jest chciane i kochane.
Porażenie por. choroba Parkinsona, paraliż;Paraliżujące myśli. Poczucie tkwienia w miejscu.;Moje myśli są wolne. Łatwo i z radością przeżywam wspaniałe doświadczenia.
Poronienie;"Lęk. Lęk przed przyszłością. „Nie teraz, później"". Rozmijanie się z upływającym czasem.";Moje życie realizuje Boskie prawa. Kocham i akceptuję siebie. Wszystko jest w porządku.
Poród;Stanowi wejście w obecny etap historii życia.;To dziecko zaczyna teraz nowe, cudowne i radosne życie. Wszystko jest w porządku.
Poród— uraz okołoporodowy;Przyczyny karmiczne. Wybraliście taki sposób przyjścia na świat. Sami wybieramy naszych rodziców i nasze dzieci. Jest to nieskończony proces.;Każde doświadczenie przyczynia się do naszego rozwoju. Jestem pogodzony ze swoją sytuacją.
Pośladki;Symbolizują siłę. Zwiotczałe — utrata sił.;Mądrze używam mojej mocy. Jestem silny. Jestem bezpieczny. Wszystko jest w porządku.
Półpasiec;Strach. Napięcie. Przewrażliwienie.;Jestem rozluźniony i spokojny, ponieważ ufam biegowi życia. Wszystko jest dobrze w moim świecie.
Prawa strona ciała;Dawanie, wypuszczanie, energia męska, mężczyzna, ojciec.;Lekko i bez wysiłku utrzymuję w równowadze moją męską energię.
Prostata;Symbolizuje męskość.;Kocham i cieszę się moją męskością.
Prostata — dolegliwości;Psychiczne lęki osłabiają męskość. Rezygnacja. Seksualne napięcie i poczucie winy. Uczucie starzenia się.;Kocham i akceptuję siebie. Akceptuję swoją własną siłę. Na zawsze pozostanę młody duchem.
Przedmiesiączkowy syndrom;Zgoda na rządy chaosu. Uleganie zewnętrznym wpływom. Odrzucanie faktu bycia kobietą.;Sama troszczę się o swój umysł i swoje życie. Jestem silną, dynamiczną kobietą. Każda część mojego ciała funkcjonuje doskonale. Kocham siebie.
Przepuklina;Zerwane więzi z innymi. Przemęczenie, ciężary. Niewłaściwa ekspresja twórcza.;Mój umysł jest łagodny i harmonijny. Kocham i akceptuję siebie. Wolno mi być sobą.
Przetoka;Lęk. Blokada procesu wydalania.;Jestem bezpieczny. Ufam całkowicie procesowi życia. Życie jest dla mnie.
Przeziębienia por. drogi oddechowe;"Zbyt wiele rzeczy naraz. Psychiczny bałagan. Drobne urazy. Przekonanie typu: „Każdej zimy przeziębiam się trzy razy"".";Pozwalam umysłowi wypocząć i doznać spokoju. Jasność i harmonia są we mnie i wokół mnie. Wszystko jest w porządku.
Przysadka mózgowa;Symbolizuje ośrodek kontroli.;Mój umysł i ciało pozostają w doskonałej równowadze. Kontroluję swoje myśli.
Psychiczna choroba;Ucieczka od rodziny. Uchylanie się od życia. Oderwanie się od rzeczywistości.;Ten umysł zna swoją prawdziwą tożsamość i jest twórczym przejawem Boskiej Ekspresji.
Puchlina wodna;Czemu lub komu nie pozwoliłbyś odejść?;Świadomie pozbywam się przeszłości. To jest bezpieczne. Jestem wolny.
Rak;"Głęboka rana. Długotrwała uraza. Głęboki sekret lub żal zżerający od środka. Nienawiść. „Po co to wszystko?"".";Z miłością przebaczam i uwalniam się od całej przeszłości. Postanawiam wypełnić mój świat radością. Kocham i akceptuję siebie.
Rany;Wściekłość na siebie. Poczucie winy.;Wybaczam sobie i postanawiam kochać siebie.
Rany— cięte por. skaleczenia;Kara za niestosowanie się do swoich własnych reguł.;Tworzę życie, w którym jestem obficie nagradzany.
Rdzeń kręgowy — zapalenie opon rdzenia kręgowego;Rozpalone myślenie, wściekłość na życie.;Mogę poniechać wszelkich zarzutów. Przyjmuję pokój i radość życia.
Ramiona;Symbolizują zdolność i możliwość przyjmowania życiowych doświadczeń.;Z miłością przyjmuję i obejmuję moje doświadczenia. Robię to łatwo i z radością.
Reumatyzm (gościec);Czucie się ofiarą. Brak miłości. Długotrwałe zgorzknienie. Uraza.;To ja kreuję moje doświadczenia. Im bardziej kocham i aprobuję siebie i innych, tym lepsze stają się moje doświadczenia.
Ręce — nadgarstki;Symbolizują ruch i lekkość.;Z miłością, mądrze i swobodnie witam moje doświadczenia.
Ręce — dolegliwości;Złość i napięcie spowodowane przekonaniem, że życie jest niesprawiedliwe.;Chcę tworzyć życie, które będzie radosne i bogate. Jestem uspokojony.
Rogówki zapalenie p. oczy;—;
Rozwolnienie por. biegunka;Lęk. Odrzucenie. Ucieczka.;Moje przyjmowanie, przyswajanie i wydalanie są w doskonałym porządku. Jestem w zgodzie z życiem.
Równowagi zaburzenia;Rozproszone myśli. Brak skupienia.;Skupiam się i uznaję doskonałość mojego życia. Wszystko jest w porządku.
Rozedma płuc;Lęk przed życiem. Nie zasługuję na życie.;To moje naturalne prawo, by żyć pełnią życia. Kocham życie. Kocham siebie.
Rzeżączka por. weneryczne ch.;Poczucie, że jest się złym człowiekiem. Pragnienie kary.;Kocham moje ciało. Kocham moją seksualność. Kocham siebie.
Samobójcze myśli;Widzenie życia wyłącznie w czarno-białych barwach. Odmowa ujrzenia innych dróg wyjścia.;Żyję wśród rozlicznych możliwości. Zawsze jest inne wyjście. Jestem bezpieczny.
Serce por. krew;Reprezentuje ośrodek miłości i bezpieczeństwa.;Moje serce bije rytmem miłości.
Serce - Dolegliwości;Długotrwale problemy emocjonalne. Brak radości. Zatwardziałość serca. Wiara w stres i napięcie.;Radość, radość, radość! Z miłością pozwalam radości płynąć przez mój umysł, ciało i doświadczenie.
Serce - Zawał por. zakrzepica wieńcowa;Wyparcie radości z serca na rzecz pieniędzy, pozycji itp.;Sprowadzam radość z powrotem do mojego serca. Wyrażam miłość do wszystkiego.
Sińce p. stłuczenia;—;—
Skaleczenia por. rany;Złość na samego siebie. Poczucie winy.;Uwalniam się od gniewu. Kocham i akceptuję siebie.
Skolioza p. skrzywienie kręgosłupa, garbienie się;—;—
Skóra;Ochrania naszą indywidualność. Narząd czucia.;Bezpiecznie jest czuć się sobą.
Skóra — dolegliwości por. wysypka, pokrzywka, łuszczyca;Niepokój. Lęk. Stare, ukryte rany. Poczucie zagrożenia.;Z miłością chronię siebie myślami radości i pokoju. Przeszłość jest przebaczona i zapomniana. Jestem wolny w tej chwili.
Skręcenie w stawie;Gniew i upór. Niechęć do podjęcia kroku w jakimś określonym kierunku.;Ufam życiu, które wyniesie mnie na szczyt tego, co we mnie najlepsze. Jestem spokojny.
"Skurcze („spazm"")";Lęk paraliżujący myśli.;Rozluźniam się, odprężam i puszczam wszystko. Jestem bezpieczny.
Skrzywienie kręgosłupa por. garbienie się;Niezdolność do pójścia wraz ze wspierającym nurtem życia. Lęk, trzymanie się zakorzenionych poglądów.;Uwalniam wszystkie obawy. Teraz ufam procesowi życia. Wiem, że życie jest dla mnie. Stoję prosto dzięki sile miłości.
Splot słoneczny;Wewnętrzne reakcje ciała. Ośrodek naszej intuicji.;Ufam mojemu wewnętrznemu głosowi. Mam moc, siłę i mądrość.
Spojówek zapalenie p. oczy;—;—
Srom;Symbolizuje wrażliwość na zranienie.;Bezpiecznie jest być wrażliwą.
Starzenie się;Społeczne przesądy. Zatwardziałe myśli. Lęk przed byciem sobą. Odrzucenie teraźniejszości.;Kocham i akceptuję siebie w każdym wieku. Każda chwila życia jest doskonała.
Starość por. Alzheimera ch.;Wracanie do bezpieczeństwa okresu dziecięcego. Żądanie opieki i uczucia. Pragnienie kontrolowania tych, którzy znajdują się wokół.;Boska opieka. Bezpieczeństwo. Spokój. Inteligencja Wszechświata działa w każdej sferze życia.
Stawy por. artretyzm, łokieć, kolano, barki;Symbolizują zmiany w życiu i łatwość ulegania im.;Łatwo poddaję się zmianie. Boskie przewodnictwo w moim życiu sprawia, że zawsze idę w najlepszym kierunku.
Staw - skokowy;Symbolizują zdolność doświadczania przyjemności. Nieugiętość i poczucie winy.;Mam prawo cieszyć się życiem. Akceptuję każdą przyjemność, jaką niesie życie.
Stawy— zwyrodnienie;Opór wobec autorytetów. Poczucie, że jest się wykorzystywanym.;Sam dla siebie jestem autorytetem. Kocham i akceptuję siebie. Życie jest dobre.
Stłuczenia;Małe, życiowe wstrząsy. Chęć ukarania siebie.;Kocham i troszczę się o siebie. Jestem dla siebie życzliwy i łagodny. Wszystko jest w porządku.
Stopy;Symbolizują nasze rozumienie: nas samych, życia, innych ludzi.;Moje rozumienie jest jasne. Chcę się zmieniać wraz z upływem czasu. Jestem bezpieczny.
Stopy — dolegliwości;Strach przed przyszłością.;Kroczę do przodu z radością i łatwością.
Stopy — grzybica;Rozczarowanie wobec braku akceptacji. Niezdolność postępowania lekko do przodu.;Kocham i aprobuję siebie. Daję sobie pozwolenie na pójście do przodu. Jest bezpiecznie podążać naprzód.
Stopy — poduszki zapalenie;Brak radości w doświadczaniu życia.;Radośnie wybiegam naprzód, by powitać cudowne przeżycia.
Stwardnienie rozsiane (SM — sclerosis multiplex);Zatwardziałość serca i umysłu. Żelazna wola, brak elastyczności. Lęk.;Wybierając pełne miłości, radosne myśli tworzę kochający, radosny świat. Jestem bezpieczny i wolny.
Swędzenie;Pragnienia niezgodne z własnym usposobieniem. Brak satysfakcji. Wyrzuty sumienia.;Jestem spokojny tu, gdzie jestem. Akceptuję moje dobro, wiedząc, że wszystkie moje potrzeby i pragnienia będą spełnione.
Szczęki — dolegliwości;Złość. Uraza. Chęć zemsty.;Chcę zmienić sposób myślenia, który spowodował taką sytuację. Kocham i akceptuję siebie. Jestem bezpieczny.
Szczękościsk;Złość. Chęć kontrolowania. Odmowa wyrażania uczuć.;Ufam życiu. Z łatwością proszę o to, czego chcę. Życie mnie wspiera.
Szkielet por. kości;Kości symbolizują strukturę życia. Choroby kości — załamanie życiowej konstrukcji.;Jestem silny i zdrowy. Jestem dobrze skonstruowany.
Szpik kostny;Symbolizuje najgłębsze przekonania o samym sobie. Sposób, w jaki wspomagasz i dbasz o siebie.;Podstawą mojego życia jest Boski Duch. Jestem bezpieczny, kochany i zawsze wspierany.
Sztywność karku;Nieugięty upór.;Bezpiecznie jest poznawać inne sposoby myślenia.
Sztywność mięśni;Sztywne, oporne myślenie.;Jestem wystarczająco bezpieczny, aby zachować elastyczność umysłu.
Szyja;Symbolizuje elastyczność. Zdolność patrzenia z różnych punktów widzenia.;Jestem w zgodzie z życiem.
"Szyja — dolegliwości por. „Zmiany w kręgosłupie"", sztywność karku";Odmowa uwzględnienia innych aspektów zagadnienia. Upór, brak elastyczności.;Elastyczność pozwala mi dostrzegać wszystkie strony zagadnienia. Jest nieskończenie wiele sposobów widzenia i robienia czegoś. Jestem bezpieczny.
Śledziona;Obsesje. Natrętne myśli.;Kocham i akceptuję siebie. Wierzę, że życie jest dla mnie. Jestem bezpieczny. Wszystko jest w porządku.
Śmierć;Symbolizuje odejście z obecnego etapu życia.;Z radością zmierzam ku innym obszarom doświadczania. Wszystko jest w porządku.
Śpiączka;Lęk. Ucieczka przed czymś lub kimś.;Otaczamy cię bezpieczeństwem i miłością. Tworzymy przestrzeń, w której wyzdrowiejesz. Jesteś kochany.
Świerzb;"„Skażone"" myślenie. Zgoda na to, aby inni załazili nam za skórę.";Jestem czującym, kochającym, radosnym wyrazem życia. Jestem sobą.
Tarczyca por. nadczynność, niedoczynność tarczycy, wole;"Upokorzenie. „Nigdy nie mogę się doczekać, żeby robić to, co chcę robić"". „Kiedy wreszcie będzie moja kolej?""";Wychodzę poza stare ograniczenia i pozwalam sobie na wyrażanie siebie swobodnie i twórczo.
Tasiemczyca;Silne przekonanie, że jest się ofiarą i kimś nieczystym. Bezradność.;Inni ludzie są odbiciem wyłącznie dobrych uczuć, jakie mam w stosunku do siebie. Kocham i akceptuję siebie takim, jakim jestem.
Tętnice;Niosą radość życia.;Jestem przepełniony radością. Radość przepływa przeze mnie z każdym uderzeniem mojego serca.
Tężec por. szczękościsk;Potrzeba wyładowania złych, jątrzących myśli.;Pozwalam miłości wypływającej z mego serca przemyć, oczyścić i uzdrowić każdy fragment mego ciała i moich uczuć.
Tiki;Lęk. Uczucie, że jest się obserwowanym.;Jestem akceptowany przez Życie. Wszystko jest w porządku. Jestem bezpieczny.
Tłuszczowa tkanka por. nadwaga;Nadwrażliwość. Często symbolizuje lęk i wyraża potrzebę ochrony. Lęk może być maskowany gniewem i silną niechęcią do wybaczania.;Jestem chroniony przez Boską Miłość. Jestem zawsze bezpieczny. Chcę wzrastać i brać odpowiedzialność za swoje życie. Wybaczam innym i sam tworzę swoje życie. Jestem bezpieczny.
Tłuszczowa tkanka — biodra;Uparty gniew na rodziców.;Chcę wybaczyć całą przeszłość. Bezpiecznie jest wyrastać poza ograniczenia rodziców.
Tłuszczowa tkanka — brzuch;Gniew z powodu nieotrzymania jedzenia lub oparcia.;Żywię się sam pokarmem duchowym. Jestem syty i wolny.
Tłuszczowa tkanka — ramiona;Gniew z powodu nieotrzymania miłości.;Jestem bezpieczny, kiedy sam kreuję całą miłość, której potrzebuję.
Tłuszczowa tkanka — uda;Nagromadzona złość z dzieciństwa. Często gniew na ojca.;Widzę mojego ojca jako niekochane dziecko i z łatwością mu wybaczam. Oboje jesteśmy wolni.
Toczeń rumieniowaty (liszaj);Rezygnacja. Lepiej umrzeć, niż wesprzeć samego siebie. Gniew. Karanie siebie.;Mówię w swoim imieniu z łatwością i swobodnie. Znam swoją własną siłę. Kocham i akceptuję siebie. Jestem wolny i bezpieczny.
Trąd;Niezdolność radzenia sobie w życiu. Długotrwałe przekonanie, że nie jest się dość dobrym lub dość czystym.;Przekraczam wszelkie ograniczenia. Jestem prowadzony i inspirowany Boskością. Miłość leczy wszystko.
Trądzik;Nieakceptowanie siebie. Nielubienie siebie.;Jestem Boskim wyrazem życia. Kocham i akceptuję siebie tu i teraz.
Trzustka;Symbolizuje słodycz życia.;Moje życie jest pełne słodyczy.
Trzustka— stan zapalny;Odrzucenie. Gniew i frustracja, ponieważ życie utraciło swoją słodycz.;Kocham i akceptuję siebie. To ja sam tworzę słodycz i radość mojego życia.
Twardzina skóry;Obrona przed życiem. Brak zaufania do siebie.;Rozluźniam się całkowicie, bo wiem, że jestem bezpieczny. Ufam Życiu i ufam sobie.
Twarz;Symbolizuje to, co okazujemy światu.;Bezpiecznie jest być sobą. Wyrażam to, kim jestem.
